activity,album,artist,catalog,duration,genre,id,label,licenseurl,rating,style,totaldiscs,totaltracks,url,year
1.29,Das musste ja so kommen EP,Endlos,1bit 021,2290,Electronic,1bit_021,1Bit Wonder,http://creativecommons.org/licenses/by-nc-sa/2.5/,2.14,IDM,1,7,http://www.archive.org/details/1bit_021,2004
0.6,Come With Me,Frank Molder,1bit 027,3177,Electronic,1bit_027,1Bit Wonder,http://creativecommons.org/licenses/by-nc-sa/2.0/de/,1.2,Easy Listening,1,10,http://archive.org/details/1bit_027,2007
1.8,Kein Grund zufrieden zu sein (Live EP),Endlos,1bit 028,1982,Electronic,1bit_028,1Bit Wonder,http://creativecommons.org/licenses/by-nc-sa/2.0/de/,2.6,"Minimal, Live",1,5,http://archive.org/details/1bit_028,2007
0.09,blue shimmery fall,jap jap,ms013n,3224,Electronic,2006-01-26.ms013n,Maetrixsolution,http://creativecommons.org/licenses/by-nc-nd/2.5/,0.18,Ambient,1,11,http://archive.org/details/2006-01-26.ms013n,2006
1.17,Twilight Under Velveteen Skies,Various Artists,?,1326,Pop,2009TwilightUnderVelveteenSkies,ccMixter,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,3.17,"Compilation, Downtempo",1,6,http://archive.org/details/2009TwilightUnderVelveteenSkies,2009
2.0,2999: You Berg,Various Artists,?,416,Electronic,2999_You_Berg-9712,Free Music Archive,http://creativecommons.org/licenses/by-nc-nd/3.0/,4.0,"IDM, Electro",1,1,http://archive.org/details/2999_You_Berg-9712,2011
1.5,Deus b/w Homage,Muscular Teeth,442-net-07aug,436,Electronic,442-net7-07aug,4-4-2 Music,,2.5,Experimental,1,2,http://archive.org/details/442-net7-07aug,2007
2.0,Cloudy Coffee,Nameless Dancers,45rpm024,2277,Electronic,45rpm0242009NamelessDancers-CloudyCoffeeep,45RPM Records,http://creativecommons.org/licenses/by-nc-nd/3.0/,2.29,"Ambient, House",1,7,http://www.archive.org/details/45rpm0242009NamelessDancers-CloudyCoffeeep,2010
1.0,Grey Sky,Tatsu,45rpm035,717,Electronic,45rpm0352010Tatsu-GreySky,45RPM Records,http://creativecommons.org/licenses/by-nc-nd/3.0/,2.5,Ambient,1,2,http://archive.org/details/45rpm0352010Tatsu-GreySky,2010
0.0,Gifkip Orchestra,Toxic Chicken,45rpm042,845,Electronic,45rpm0422010ToxicChicken-GifkipOrchestra,45RPM Records,http://creativecommons.org/licenses/by-nc-nd/3.0/,0.0,Chiptune,1,6,http://archive.org/details/45rpm0422010ToxicChicken-GifkipOrchestra,2010
1.42,Lorca,Alexey Karpov,45rpm046,2090,World,45rpm0462011AlexeyKarpov-Lorca,45RPM Records,http://creativecommons.org/licenses/by-nc-nd/3.0/,2.67,Acoustic,1,12,http://www.archive.org/details/45rpm0462011AlexeyKarpov-Lorca,2010
1.5,Drifting Soul,Jared C. Balogh,45rpm053,826,Jazz,45rpm053-2012JaredC.Balogh-DriftingSoul,45RPM Records,http://creativecommons.org/licenses/by-nc-nd/3.0/,2.0,Instrumental,1,2,http://archive.org/details/45rpm053-2012JaredC.Balogh-DriftingSoul,2012
0.86,Transfolmer,Transfolmer,63LP005,3027,Electronic,63LP005,2063music,,1.21,"Ambient, IDM",1,14,http://archive.org/details/63LP005,2005
1.25,Meditative Positions Tape 7,Near Death Xperience,63LP061,3246,Electronic,63_061/,2063music,http://creativecommons.org/licenses/by-nc-nd/2.0/de/,2.12,Ambient,1,8,http://archive.org/details/63_061/,2008
2.07,hello world,nullsleep,8bp017,1594,Electronic,8bp017,8bitpeoples,http://creativecommons.org/licenses/by-nd-nc/1.0/,1.64,Chiptune,1,14,http://www.archive.org/details/8bp017,2001
2.0,Axel F,Various Artists,8bp028,1106,Electronic,8bp028,8bitpeoples,,2.0,Chiptune,1,6,http://www.archive.org/details/8bp028,2002
2.0,depeche mode gameboy megamix,nullsleep,8bp029,1199,Electronic,8bp029,8bitpeoples,,2.5,Chiptune,1,2,http://archive.org/details/8bp029,2002
2.0,rawk hard,twilight electric,8bp031,544,Electronic,8bp031,8bitpeoples,http://creativecommons.org/licenses/by-nd-nc/1.0/,2.25,Chiptune,1,4,http://www.archive.org/details/8bp031,2002
2.0,"I, Cactus","I, Cactus",8bp033,874,Electronic,8bp033,8bitpeoples,http://creativecommons.org/licenses/by-nd-nc/1.0/,2.17,Chiptune,1,6,http://www.archive.org/details/8bp033,2003
2.0,Hologram,Trash80,8bp037,1139,Electronic,8bp037,8bitpeoples,http://creativecommons.org/licenses/by-nd-nc/1.0/,2.6,Chiptune,1,5,http://www.archive.org/details/8bp037,2003
2.25,the 8bits of christmas,Various Artists,8bp038,1062,Electronic,8bp038,8bitpeoples,,2.38,Chiptune,1,8,http://www.archive.org/details/8bp038,2003
2.0,Netaudio 2009,Various Artists,acpcf001,4369,Electronic,ACPCF001_Netaudio_2009_-_Acroplane_and_The_Centrifuge,Acroplane Recordings,http://creativecommons.org/licenses/by-nc-nd/3.0/,2.06,"Chiptune, Breakcore, Glitch, Experimental, Compilation",1,18,http://archive.org/details/ACPCF001_Netaudio_2009_-_Acroplane_and_The_Centrifuge,2009
2.0,Club de Jazz presentsâ€¦ A Full Moon Party,The Emer Mulholland Group,SR076,1145,Jazz,AFullMoonParty,Stag Records,http://creativecommons.org/licenses/by/3.0/,2.83,Fusion,1,6,http://archive.org/details/AFullMoonParty,2012
0.0,Corwin Trails,Corwin Trails,AH003,983,Electronic,AH003_corwin_trails_-_corwin_trails,Archaic Horizon,http://creativecommons.org/licenses/by-nc-nd/2.5/,0.0,"IDM, Downtempo, Ambient",1,5,http://archive.org/details/AH003_corwin_trails_-_corwin_trails,2007
0.0,Good Old Days,Gabriel Kreps,AH011,2438,Electronic,AH011_GABRIEL_-_Good_Old_Days,Archaic Horizons,,0.0,"Downtempo, Trip Hop",1,10,http://archive.org/details/AH011_GABRIEL_-_Good_Old_Days,2007
